transaction_id,amount_usd,hour_of_day,txn_velocity_1h,account_age_days,failed_logins_7d,chargebacks_90d,country_mismatch,is_international,device_risk_score,ip_risk_score,merchant_risk_score,fraud
89,15.14,23,5,990,1,1,0,0,32.1,29.8,31.4,0
90,51.51,2,2,1380,0,0,1,1,15.7,0.0,61.1,0
91,47.96,16,1,3391,0,0,0,1,29.5,14.2,17.3,0
92,6.26,10,0,1808,1,0,0,1,45.1,0.0,11.3,0
93,7.07,22,1,1586,0,0,0,0,32.9,18.9,0.0,0
94,10.75,1,2,956,0,0,0,0,35.0,48.8,5.4,0
95,32.91,10,1,1720,0,0,0,0,23.9,21.9,52.2,0
96,152.4,15,2,2564,0,0,0,0,56.6,21.4,24.0,0
97,22.07,8,2,895,0,0,0,1,17.8,28.9,0.0,0
98,36.62,20,0,686,1,0,0,0,26.7,28.7,52.0,0
99,12.8,21,0,70,2,0,0,0,40.1,11.8,39.8,0
100,12.97,10,3,2413,2,0,0,0,42.6,0.0,0.0,0
101,6.26,9,3,2134,0,0,0,1,13.7,11.4,35.1,0
102,29.29,1,1,296,1,0,0,1,42.4,24.6,10.4,0
103,63.93,17,1,3647,0,0,0,1,49.8,19.7,22.6,0
104,22.53,22,1,141,0,1,0,1,5.7,10.6,41.5,0
105,91.58,4,1,1889,1,0,0,0,10.1,56.9,0.0,0
106,35.1,22,1,133,2,0,0,0,0.0,21.1,19.8,0
107,29.1,8,2,551,1,0,1,1,53.1,49.8,31.7,0
108,45.32,8,3,1571,0,0,0,0,21.8,11.7,23.9,0
109,44.25,4,2,3313,0,0,1,0,46.0,7.5,36.1,0
110,,17,0,1411,0,0,0,1,17.8,17.7,19.3,0
111,15.78,20,2,1598,1,0,0,1,36.9,14.9,37.5,0
112,4.8,4,2,2730,1,0,0,1,18.8,0.0,21.5,0
113,32.84,7,2,3551,0,1,0,0,21.7,19.4,66.8,0
114,18.37,18,1,321,1,0,0,0,37.4,18.9,31.5,0
115,29.32,5,2,988,2,0,0,0,23.2,13.9,29.1,0
116,113.46,2,0,3320,2,0,0,1,21.1,27.4,24.9,0
117,12.4,23,1,3153,0,0,0,1,26.6,13.7,22.5,0
118,55.25,17,2,1805,1,0,0,0,16.7,53.7,78.5,0
119,63.86,23,0,52,0,1,0,1,45.7,3.7,8.1,0
120,43.32,6,0,2450,0,0,0,0,19.7,0.0,0.0,0
121,73.32,12,0,341,1,0,0,0,17.3,10.8,31.3,0
122,20.77,12,0,344,0,0,0,1,1.5,0.0,56.8,0
123,17.37,22,1,1406,1,0,0,0,,23.5,34.6,0
124,68.8,15,2,2363,0,0,0,1,36.2,28.0,0.0,0
125,53.32,12,1,1646,0,0,0,1,45.2,59.5,28.8,0
126,91.13,20,1,1382,0,0,0,0,0.0,53.6,15.8,0
127,35.51,20,1,1617,1,0,0,0,34.5,35.5,38.7,0
128,,11,2,1843,0,0,0,0,51.0,0.0,29.7,0
129,23.91,18,2,3253,1,1,0,0,34.2,11.9,30.6,0
130,12.83,12,2,1657,0,0,1,0,37.0,,41.9,0
131,5.87,3,2,3065,0,0,0,0,32.0,0.2,38.5,0
132,12.41,4,1,3301,2,0,0,0,15.8,38.7,4.3,0
133,57.67,23,1,2630,1,0,0,0,33.5,4.9,0.2,0
134,9.28,8,3,871,0,0,0,0,26.5,0.0,54.2,0
135,20.87,14,1,3016,0,0,0,0,25.6,26.8,51.2,0
136,161.62,11,4,2839,0,0,0,1,8.1,68.7,35.5,0
137,58.99,19,0,3122,0,0,0,0,32.9,5.9,10.1,0
138,125.56,10,3,544,0,0,0,1,47.1,13.7,,0
139,13.55,16,1,1810,1,0,0,1,22.0,23.4,43.4,0
140,4.19,13,1,413,0,0,0,0,33.6,28.9,49.8,0
141,100.8,23,1,952,1,0,0,1,24.8,0.0,24.4,0
142,9.65,23,1,21,1,0,0,0,21.0,11.9,0.0,0
143,32.22,10,1,2389,0,0,1,0,0.0,12.8,35.8,0
144,35.65,2,2,1416,1,0,0,0,15.3,27.1,,0
145,14.03,10,0,2666,0,0,0,0,30.7,30.3,7.1,0
146,103.76,11,1,413,1,0,0,1,29.1,36.0,31.6,0
147,103.49,18,2,2989,1,0,0,0,28.1,7.9,26.8,0
148,46.58,0,0,3293,0,0,1,0,16.4,0.0,0.0,0
149,29.27,8,2,496,0,0,0,1,21.6,24.4,26.5,0
150,34.92,2,2,3330,0,0,0,0,29.5,49.8,39.1,1
151,12.47,10,0,3385,0,0,0,0,55.4,29.8,26.9,0
152,24.75,6,1,2619,0,0,0,0,18.3,13.0,8.0,0
153,27.55,8,2,248,0,0,0,0,11.9,29.3,,0
154,15.15,22,2,1555,1,0,0,0,15.3,46.4,43.4,0
155,59.11,1,2,3290,2,0,0,0,21.4,26.3,36.1,0
156,9.57,20,0,912,1,0,0,0,27.8,19.8,34.6,0
157,20.85,19,1,823,0,0,0,0,17.5,21.8,2.1,0
158,4.94,0,1,3422,0,0,0,0,40.1,0.0,56.3,0
159,44.59,16,3,589,0,0,0,0,0.8,43.6,45.9,0
160,54.28,17,1,639,1,0,0,1,12.0,47.8,4.2,0
161,49.26,20,4,1414,1,0,0,1,32.4,6.1,0.0,0
162,309.35,2,0,3430,2,0,0,0,36.9,14.9,34.5,0
163,63.55,1,3,3590,1,0,0,0,0.0,16.4,30.3,0
164,14.1,12,2,3294,1,1,0,0,65.2,33.1,21.9,0
165,252.35,2,0,640,0,0,0,0,20.3,0.0,70.4,0
166,14.35,9,0,1773,1,0,0,0,30.5,0.0,49.5,0
167,56.32,0,1,2064,2,0,0,0,0.0,24.7,14.5,0
168,54.3,19,0,3598,0,0,0,1,0.0,18.0,68.1,0
169,14.82,8,0,1137,0,0,0,0,15.1,11.3,15.3,0
170,91.49,12,1,2353,0,0,0,0,12.2,29.0,29.9,0
171,39.79,5,1,3064,0,0,0,0,60.0,38.3,0.0,0
172,47.31,17,1,92,0,0,0,0,15.7,14.5,9.0,0
173,17.45,11,1,3478,0,0,0,0,13.1,15.9,47.9,0
174,84.95,17,0,924,0,0,0,0,21.9,8.0,24.9,0
175,15.05,20,0,1397,2,0,0,0,33.3,51.4,19.2,0
176,7.22,21,0,2412,0,0,0,0,71.1,39.0,25.0,0
177,93.7,17,2,2883,0,0,0,0,30.7,42.2,63.4,0
178,21.3,16,1,2512,0,0,0,1,28.9,16.5,0.0,0
179,31.02,4,0,3348,1,0,0,1,19.9,35.0,68.6,0
180,139.52,15,0,2056,0,0,0,0,9.9,13.8,0.0,0
181,74.38,11,0,3432,1,0,0,0,31.0,39.4,51.5,0
182,49.71,8,0,1047,2,0,0,0,17.6,13.8,46.2,0
183,70.52,10,0,1587,0,1,0,1,47.9,16.3,38.9,0
184,16.74,12,4,3093,0,0,1,0,45.7,19.2,47.9,0
185,54.73,1,0,2812,0,0,1,0,24.0,,35.0,0
186,72.82,3,1,348,0,1,0,0,35.0,15.1,19.6,0
187,54.84,6,1,1461,1,0,0,0,9.9,38.8,34.2,0
188,25.45,18,1,156,0,0,0,0,73.5,44.5,14.2,0
189,1.49,17,4,2472,1,0,0,0,51.8,12.9,70.6,0
190,46.8,0,1,3279,1,0,0,1,18.6,16.5,3.1,0
191,32.85,20,1,3520,0,0,0,0,16.6,46.1,39.8,0
192,22.29,2,1,3539,0,0,0,1,21.2,8.2,24.7,0
193,55.84,19,2,1378,0,0,0,0,0.0,35.4,14.9,0
194,37.06,10,2,1992,0,0,0,0,13.6,28.6,26.1,0
195,35.27,17,1,497,0,0,0,0,14.1,50.7,33.1,0
196,9.14,10,0,1324,0,0,0,0,23.1,7.7,0.0,0
197,9.32,19,2,1215,2,0,0,0,35.8,52.4,38.1,0
198,40.3,23,1,330,0,0,0,0,10.5,17.8,18.1,0
199,31.84,0,1,2733,0,0,1,0,2.7,2.2,0.0,0
200,33.48,15,1,1023,1,0,0,0,45.8,15.2,42.9,0
201,34.23,21,0,3136,0,0,0,1,35.7,37.6,8.3,0
202,41.64,10,1,2850,0,0,0,0,41.5,21.1,17.3,0
203,30.84,4,0,2624,1,0,0,0,15.9,11.1,35.9,0
204,34.0,22,1,2363,0,0,0,0,33.2,2.7,56.4,0
205,36.78,3,2,745,0,0,0,0,0.0,19.7,56.1,0
206,63.02,23,2,3511,0,0,0,0,3.5,0.0,24.1,0
207,19.85,5,1,2499,0,0,0,0,24.9,15.9,31.0,0
208,56.21,13,0,2458,0,0,0,0,45.0,48.2,68.2,0
209,49.85,5,0,501,0,0,0,0,18.3,9.4,1.3,0
210,32.6,6,2,416,0,0,0,1,28.6,18.7,38.6,0
211,20.49,0,0,62,0,0,0,0,26.8,43.9,24.7,0
212,40.26,9,4,253,0,0,0,0,39.3,23.8,4.8,0
213,59.81,4,1,726,0,0,0,0,46.9,6.2,26.2,0
214,12.68,22,0,3619,1,0,0,0,20.6,0.0,21.9,0
215,31.49,21,0,2550,1,0,0,1,19.9,0.0,3.7,0
216,31.56,15,1,2893,0,0,0,0,9.7,22.8,28.7,0
217,17.66,18,2,1498,0,0,0,0,37.8,44.6,16.9,0
218,18.26,6,1,825,1,0,0,0,25.3,7.9,60.2,0
219,8.66,18,0,2942,1,1,0,0,4.9,30.6,44.9,0
220,12.4,11,0,2356,0,0,0,1,8.7,23.4,42.6,0
221,8.76,2,1,969,1,0,0,0,33.0,11.3,23.2,0
222,18.3,16,0,156,0,0,0,0,56.3,27.8,13.4,0
223,19.14,6,4,1018,0,0,0,0,10.1,35.3,42.7,0
224,19.43,10,2,3559,0,1,1,0,17.9,21.7,19.5,0
225,40.35,1,1,2811,0,0,0,0,21.0,17.2,17.5,0
226,25.79,14,2,435,1,0,0,0,24.0,1.8,0.0,0
227,16.72,5,0,134,0,0,1,0,25.5,5.6,33.8,0
228,16.82,23,1,913,0,0,1,1,23.9,38.6,68.9,0
229,12.12,2,3,2951,2,0,0,1,8.6,15.6,50.7,0
230,25.61,3,3,1612,1,1,0,1,27.3,34.4,15.6,0
231,25.25,15,1,217,0,0,0,1,0.0,57.3,45.2,0
232,109.77,16,1,2669,0,0,0,0,54.6,29.5,11.3,0
233,102.24,17,2,2629,0,0,0,0,9.9,0.0,18.4,0
234,97.74,20,1,3631,1,0,1,0,15.3,28.6,37.0,0
235,158.13,3,3,3467,0,0,0,0,26.3,16.8,51.4,0
236,11.32,12,2,893,1,1,0,0,38.2,29.3,3.1,0
237,51.34,10,1,1846,0,0,0,0,13.9,13.3,33.9,0
238,55.08,11,5,871,0,0,0,1,25.5,27.4,26.0,0
239,43.86,0,0,1961,0,0,0,0,51.1,0.0,19.3,0
240,164.24,7,0,1851,0,0,1,1,11.0,10.6,26.9,0
241,228.22,18,1,1221,0,0,0,0,21.7,13.4,4.2,0
242,65.59,12,1,2324,0,0,0,0,31.2,27.0,18.6,0
243,50.53,11,1,3584,0,0,0,0,20.7,41.5,51.8,0
244,12.21,18,1,2601,1,0,0,0,26.4,51.0,14.6,0
245,12.23,23,2,2547,1,0,0,1,9.4,33.1,5.8,0
246,52.47,18,3,3434,2,0,0,0,36.2,42.6,30.0,0
247,28.2,14,1,1046,1,0,0,1,19.2,29.2,20.3,0
248,10.34,15,1,1565,0,1,0,0,23.2,21.9,35.0,0
249,27.13,21,1,608,0,0,0,0,25.6,13.9,28.6,0
250,39.97,15,1,1244,0,0,0,1,21.6,12.2,0.0,0
251,63.35,17,1,2640,0,0,0,0,51.4,17.9,22.5,0
252,27.49,19,1,524,0,0,0,0,15.8,50.7,19.6,0
253,24.16,18,2,2147,1,0,0,0,1.5,26.8,47.7,0
254,30.11,2,0,855,0,0,1,0,28.7,4.5,28.0,0
255,34.41,0,2,1365,0,0,0,0,20.1,5.5,17.4,0
256,11.82,13,3,473,0,0,0,0,32.4,22.9,0.0,0
257,58.36,3,2,2501,0,0,0,0,30.4,23.1,66.4,0
258,172.82,23,1,457,2,0,0,0,14.5,26.1,47.2,0
259,57.48,13,0,2027,1,1,0,1,25.0,14.5,30.6,0
260,9.41,8,2,2541,0,0,0,0,46.3,23.5,17.3,0
261,32.32,12,3,2130,1,0,0,0,25.6,35.8,18.9,0
262,7.3,18,1,274,0,0,0,0,18.7,25.5,6.6,0
263,6.94,7,1,820,0,0,0,0,13.4,42.1,47.4,0
264,50.77,10,0,2846,0,0,0,0,31.7,1.5,41.8,0
265,31.88,21,1,2685,0,0,1,0,5.7,39.6,45.2,0
266,17.29,7,1,3459,1,0,0,0,42.3,33.9,25.6,0
267,5.64,13,2,1862,1,0,0,0,5.1,11.0,0.7,0
268,10.86,9,0,1175,2,0,0,0,15.9,3.5,19.1,0
269,34.12,2,3,215,1,0,0,0,21.8,13.6,34.8,0
270,30.74,19,4,2314,1,0,0,0,41.9,29.2,24.0,0
271,52.03,7,0,2473,1,0,0,0,37.1,11.5,12.4,0
272,101.36,14,2,75,0,1,0,0,28.2,18.7,3.5,0
273,22.84,4,1,219,0,0,0,0,15.0,43.7,43.3,0
274,43.61,17,1,3402,0,0,0,1,29.5,18.1,31.7,0
275,26.84,20,1,2282,2,0,0,0,29.1,0.0,57.3,0
276,20.14,8,0,946,0,0,0,0,16.7,0.0,62.6,0
277,24.63,0,4,2100,0,0,0,0,21.5,41.0,60.0,0
278,64.63,7,0,1806,0,0,0,0,36.4,5.1,13.3,0
279,13.16,21,0,336,0,0,0,0,23.8,4.4,3.8,0
280,74.65,4,2,2245,0,0,0,0,8.7,29.5,20.7,0
281,97.69,4,3,714,2,0,1,0,19.1,5.9,61.9,0
282,30.83,23,1,2099,0,0,1,0,18.0,0.0,51.4,0
283,36.74,5,3,469,0,0,0,1,31.8,8.8,41.5,0
284,9.68,8,2,339,1,0,0,0,47.7,20.7,21.2,1
285,198.03,8,3,1645,1,0,0,0,19.3,0.0,46.9,0
286,65.57,19,2,1015,1,0,0,0,27.0,36.2,31.7,0
287,34.39,13,1,2002,0,0,0,1,34.0,8.4,62.0,0
288,31.37,9,0,3147,0,0,0,0,9.9,52.0,11.1,0
289,42.98,20,2,3638,0,0,0,0,40.5,,20.7,0
290,17.8,13,0,3132,0,0,0,1,26.3,49.7,74.7,0
291,37.59,17,0,901,0,1,0,0,44.6,20.6,30.6,1
292,14.31,20,0,2697,1,0,0,0,28.4,8.2,43.6,0
293,44.61,14,1,3407,1,0,0,0,71.0,26.3,17.6,0
294,17.42,4,0,2762,0,0,0,0,46.3,0.0,37.9,0
295,61.34,16,5,2160,1,0,1,1,35.9,24.3,28.7,0
296,27.21,13,2,3215,0,0,0,0,34.7,16.8,9.5,0
297,37.15,1,3,2582,1,0,1,0,15.0,43.9,69.0,0
298,320.12,5,2,36,0,0,0,1,37.7,35.5,0.0,0
299,57.02,20,0,2849,2,0,0,1,34.6,34.3,38.9,0
300,37.12,23,3,3180,0,0,0,0,44.7,38.7,9.2,0
301,31.05,19,2,2837,1,0,0,0,34.7,1.3,24.3,0
302,13.05,22,1,972,0,0,0,0,4.6,3.7,36.9,0
303,71.33,8,0,2132,0,0,0,0,25.5,,18.0,0
304,107.97,11,1,3385,1,0,0,0,11.9,32.8,24.5,0
305,31.55,7,2,2045,0,2,1,1,25.6,24.4,23.7,0
306,114.59,6,5,2642,0,0,0,0,24.9,26.7,46.9,0
307,27.39,0,0,344,0,0,1,1,4.1,0.0,62.6,0
308,7.25,14,4,2976,0,0,0,0,25.9,15.4,29.1,0
309,17.77,14,1,1418,0,0,0,0,37.9,5.3,26.7,0
310,12.86,20,0,555,0,0,0,0,32.7,0.0,30.4,0
311,24.06,15,0,1214,1,0,0,0,18.9,60.8,38.0,0
312,49.48,15,1,2904,0,0,0,1,20.6,38.8,22.3,0
313,14.25,11,0,2463,0,0,0,0,20.1,4.0,37.6,0
314,28.1,20,0,669,0,0,1,0,26.0,35.2,0.0,0
315,35.14,7,1,1103,0,1,1,0,20.5,14.5,26.1,0
316,16.67,20,1,201,2,0,0,0,24.5,19.2,9.2,0
317,,14,3,662,0,0,0,1,7.3,39.0,48.6,0
318,32.13,3,2,1270,0,0,0,0,0.0,34.8,37.5,0
319,60.21,18,1,2736,0,0,0,0,,17.0,20.3,0
320,18.49,11,1,654,1,0,0,1,0.0,5.5,48.4,0
321,16.43,4,1,3503,0,0,0,0,36.3,24.6,0.0,0
322,26.76,5,1,314,1,0,0,1,11.3,49.9,31.2,0
323,37.79,13,2,1607,0,0,0,0,13.4,42.5,13.3,0
324,19.41,1,1,2696,1,0,1,0,17.3,38.8,64.1,0
325,22.94,14,1,911,0,0,0,0,7.7,40.4,46.8,0
326,24.9,2,2,454,0,0,0,0,34.1,26.7,17.2,0
327,,17,1,1442,1,1,0,1,13.6,11.6,42.4,0
328,26.0,23,5,2826,0,0,0,0,54.9,19.4,10.5,0
329,19.14,18,0,1066,0,0,0,0,20.1,69.5,13.8,1
330,106.35,20,1,970,0,0,0,0,27.6,13.4,62.8,0
331,19.81,18,1,1051,0,0,0,0,15.6,54.0,20.1,0
332,,21,0,2411,0,0,0,0,1.6,29.7,20.2,0
333,40.59,4,1,2029,0,0,0,0,0.0,0.8,30.3,0
334,12.25,3,0,962,2,1,0,0,42.1,27.8,0.4,0
335,11.03,5,4,3333,0,0,0,0,49.2,9.2,27.3,0
336,20.98,6,2,3250,1,0,0,0,25.9,3.9,32.0,0
337,50.91,0,3,2242,0,1,0,0,45.8,32.8,47.7,0
338,18.94,6,3,1058,0,0,0,0,32.5,9.8,0.0,0
339,17.73,17,1,537,0,0,0,0,15.7,12.3,52.3,0
340,2.94,10,1,519,0,0,0,0,51.6,20.2,35.9,0
341,21.81,22,4,2024,0,0,0,0,8.1,0.0,47.3,0
342,38.47,19,0,2729,0,0,0,0,18.7,29.2,75.3,0
343,42.77,16,3,1806,0,1,1,1,28.7,25.1,18.3,1
344,42.24,13,0,1836,0,0,0,0,16.9,1.3,63.5,0
345,23.05,4,2,2998,0,0,1,0,26.4,,36.7,0
346,24.98,14,1,3283,0,0,0,0,31.6,11.9,50.0,0
347,58.31,10,0,1039,0,0,0,0,0.4,0.0,25.8,0
348,26.88,20,1,2150,1,0,0,0,17.0,47.7,4.1,0
349,4.75,17,0,2658,1,0,0,0,2.6,0.0,56.0,0
350,67.76,9,0,1358,0,0,0,0,37.5,26.7,37.3,0
351,12.65,23,1,647,1,0,0,0,12.3,10.7,60.5,0
352,90.04,20,1,72,0,0,0,0,23.0,20.3,42.1,0
353,116.2,22,1,1780,0,1,0,0,16.7,6.2,57.7,0
354,55.14,23,0,1776,0,0,0,0,28.4,0.0,73.0,0
355,61.76,4,1,2904,0,1,0,1,44.7,20.5,33.2,0
356,132.45,11,2,3158,0,0,0,0,14.3,36.7,65.0,0
357,12.41,15,2,1117,0,0,0,1,51.4,6.8,28.7,0
358,36.71,15,0,2816,0,0,0,0,55.2,0.6,60.7,0
359,36.28,22,1,714,0,0,1,0,14.7,13.7,14.4,0
360,13.82,19,3,2614,0,0,0,0,28.7,39.9,27.4,0
361,149.82,4,2,2757,1,0,0,0,14.5,12.4,21.3,0
362,18.83,4,1,1994,0,0,0,0,18.8,50.2,59.4,0
363,16.69,5,0,3262,1,0,0,0,6.4,45.3,19.6,0
364,37.12,8,1,1956,0,0,1,0,29.0,21.2,26.1,0
365,68.37,2,1,2980,0,0,0,0,57.3,1.8,43.6,0
366,18.53,1,0,967,1,0,0,0,37.3,15.2,20.6,0
367,18.55,15,2,82,0,0,0,1,11.8,4.6,21.4,0
368,44.85,22,0,1364,0,0,1,0,32.4,0.0,41.9,0
369,9.58,23,1,2562,1,0,0,0,10.9,9.2,37.5,0
370,16.15,11,4,1904,0,0,0,1,9.6,26.2,23.0,0
371,15.32,5,0,1978,1,0,0,0,29.7,27.6,39.9,0
372,21.17,11,2,2599,0,0,0,0,25.4,60.9,26.0,0
373,26.74,17,0,1555,0,0,0,0,23.4,17.4,18.3,0
374,131.02,1,0,1604,0,0,0,0,24.4,26.2,46.0,1
375,61.92,1,1,1760,1,0,0,0,36.2,56.5,15.9,0
376,30.51,21,2,2000,0,0,0,0,26.5,23.4,0.0,0
377,25.03,19,1,2475,0,0,0,0,23.7,28.8,20.9,0
378,60.31,8,1,2164,1,0,0,1,3.0,28.9,31.1,0
379,42.21,20,3,321,0,0,0,0,27.9,,37.1,0
380,61.13,5,1,3458,0,0,0,0,24.3,38.1,3.2,0
381,90.45,7,3,1183,0,0,0,0,,10.2,0.0,0
382,13.38,10,1,841,0,0,0,0,5.9,7.9,0.0,0
383,4.94,20,0,657,0,0,0,0,42.6,6.0,30.7,0
384,29.45,10,2,1939,1,0,0,1,36.9,11.8,46.3,0
385,31.93,3,0,455,1,0,0,1,7.0,,0.0,0
386,37.69,14,1,3399,0,0,0,0,10.6,,49.4,0
387,18.56,0,0,1673,1,0,0,1,35.7,7.8,25.4,0
388,24.88,11,2,1246,0,0,0,1,18.0,0.0,26.7,0
389,46.85,23,0,1084,2,0,0,0,23.5,12.7,0.0,0
390,48.91,6,2,1356,0,0,0,0,0.0,30.9,47.1,0
391,86.9,0,0,1004,0,0,0,1,24.7,21.8,7.7,0
392,5.3,3,1,1478,0,1,0,0,34.7,33.7,33.0,0
393,8.01,23,2,3075,2,0,0,0,,18.9,48.0,0
394,96.5,3,1,1945,0,0,0,0,28.7,7.6,34.8,0
395,48.74,6,1,3616,1,1,0,0,9.3,0.0,42.1,0
396,56.53,14,2,2916,0,0,0,0,3.4,34.4,63.1,0
397,23.86,17,0,633,0,0,0,0,38.7,0.0,0.5,0
398,20.51,17,0,2952,0,0,0,0,17.7,15.2,16.5,0
399,35.16,17,0,317,0,0,0,0,39.3,0.0,50.4,0
400,14.13,2,0,497,1,0,1,1,12.0,10.7,0.0,0
